shipment_id,origin_city,destination_city,expected_duration,delivery_duration,delay_flag
SHP_0000106,Surabaya,Denpasar,1,2,1
SHP_0000107,Balikpapan,Denpasar,2,1,0
SHP_0000108,Makassar,Jakarta,3,3,0
SHP_0000109,Denpasar,Jakarta,1,2,0
SHP_0000110,Bandung,Surabaya,2,1,0
SHP_0000111,Jakarta,Semarang,4,3,0
SHP_0000112,Balikpapan,Surabaya,3,3,0
SHP_0000113,Jakarta,Makassar,2,5,1
SHP_0000114,Makassar,Jakarta,3,2,0
SHP_0000115,Semarang,Medan,1,1,0
SHP_0000116,Denpasar,Makassar,3,6,1
SHP_0000117,Denpasar,Semarang,5,6,0
SHP_0000118,Denpasar,Balikpapan,4,3,0
SHP_0000119,Makassar,Denpasar,1,1,0
SHP_0000120,Jakarta,Makassar,4,4,0
SHP_0000121,Semarang,Medan,5,4,0
SHP_0000122,Denpasar,Balikpapan,2,5,1
SHP_0000123,Makassar,Denpasar,4,5,0
SHP_0000124,Medan,Semarang,2,1,0
SHP_0000125,Bandung,Jakarta,4,5,0
SHP_0000126,Medan,Balikpapan,5,4,0
SHP_0000127,Balikpapan,Bandung,2,1,0
SHP_0000128,Surabaya,Semarang,1,2,1
SHP_0000129,Bandung,Makassar,3,3,0
SHP_0000130,Medan,Makassar,2,5,1
SHP_0000131,Bandung,Jakarta,2,2,0
SHP_0000132,Medan,Jakarta,2,2,0
SHP_0000133,Denpasar,Semarang,3,6,1
SHP_0000134,Makassar,Balikpapan,1,1,0
SHP_0000135,Surabaya,Balikpapan,5,5,0
SHP_0000136,Jakarta,Semarang,3,4,0
SHP_0000137,Jakarta,Surabaya,3,2,0
SHP_0000138,Semarang,Bandung,5,7,1
SHP_0000139,Semarang,Medan,5,6,0
SHP_0000140,Bandung,Surabaya,1,1,0
SHP_0000141,Makassar,Balikpapan,4,3,0
SHP_0000142,Denpasar,Semarang,3,2,0
SHP_0000143,Jakarta,Makassar,5,6,0
SHP_0000144,Makassar,Denpasar,5,6,0
SHP_0000145,Surabaya,Bandung,5,6,0
SHP_0000146,Denpasar,Surabaya,1,1,0
SHP_0000147,Denpasar,Jakarta,5,5,0
SHP_0000148,Semarang,Makassar,4,4,0
SHP_0000149,Denpasar,Jakarta,4,5,1
SHP_0000150,Bandung,Medan,3,2,0
SHP_0000151,Surabaya,Jakarta,4,6,1
SHP_0000152,Denpasar,Jakarta,2,1,0
SHP_0000153,Bandung,Medan,1,2,0
SHP_0000154,Semarang,Jakarta,1,2,0
SHP_0000155,Balikpapan,Surabaya,1,2,1
SHP_0000156,Medan,Semarang,3,3,0
SHP_0000157,Surabaya,Makassar,1,1,0
SHP_0000158,Bandung,Balikpapan,2,3,0
SHP_0000159,Jakarta,Semarang,2,3,0
SHP_0000160,Medan,Surabaya,5,4,0
SHP_0000161,Denpasar,Surabaya,2,3,0
SHP_0000162,Jakarta,Makassar,1,1,0
SHP_0000163,Medan,Makassar,3,2,0
SHP_0000164,Semarang,Medan,3,4,0
SHP_0000165,Semarang,Denpasar,3,2,0
SHP_0000166,Surabaya,Jakarta,2,2,0
SHP_0000167,Semarang,Makassar,5,5,0
SHP_0000168,Medan,Balikpapan,5,8,1
SHP_0000169,Jakarta,Bandung,5,5,0
SHP_0000170,Surabaya,Bandung,3,2,0
SHP_0000171,Makassar,Semarang,1,4,1
SHP_0000172,Balikpapan,Jakarta,2,1,0
SHP_0000173,Semarang,Makassar,3,2,0
SHP_0000174,Makassar,Medan,4,5,0
SHP_0000175,Surabaya,Medan,4,5,0
SHP_0000176,Denpasar,Bandung,5,6,0
SHP_0000177,Balikpapan,Surabaya,1,3,1
SHP_0000178,Jakarta,Semarang,3,4,0
SHP_0000179,Surabaya,Medan,5,6,0
SHP_0000180,Balikpapan,Semarang,2,1,0
SHP_0000181,Surabaya,Balikpapan,5,6,0
SHP_0000182,Bandung,Makassar,5,4,0
SHP_0000183,Surabaya,Jakarta,2,2,0
SHP_0000184,Denpasar,Balikpapan,3,4,0
SHP_0000185,Makassar,Medan,2,2,0
SHP_0000186,Bandung,Jakarta,1,1,0
SHP_0000187,Medan,Makassar,1,1,0
SHP_0000188,Medan,Denpasar,2,3,0
SHP_0000189,Makassar,Jakarta,5,6,1
SHP_0000190,Semarang,Denpasar,2,2,0
SHP_0000191,Makassar,Medan,2,2,0
SHP_0000192,Balikpapan,Makassar,3,4,0
SHP_0000193,Balikpapan,Denpasar,3,4,1
SHP_0000194,Makassar,Balikpapan,3,2,0
SHP_0000195,Surabaya,Medan,4,3,0
SHP_0000196,Denpasar,Surabaya,1,1,0
SHP_0000197,Jakarta,Medan,1,2,0
SHP_0000198,Balikpapan,Semarang,4,6,1
SHP_0000199,Makassar,Bandung,3,3,0
SHP_0000200,Jakarta,Makassar,4,4,0
SHP_0000201,Bandung,Denpasar,4,4,0
SHP_0000202,Denpasar,Jakarta,2,2,0
SHP_0000203,Semarang,Makassar,4,7,1
SHP_0000204,Balikpapan,Jakarta,2,1,0
SHP_0000205,Medan,Makassar,1,1,0
SHP_0000206,Bandung,Balikpapan,4,3,0
SHP_0000207,Balikpapan,Bandung,4,4,0
SHP_0000208,Makassar,Denpasar,3,4,0
SHP_0000209,Surabaya,Balikpapan,2,2,0
SHP_0000210,Bandung,Balikpapan,1,1,0
SHP_0000211,Denpasar,Semarang,4,3,0
SHP_0000212,Surabaya,Balikpapan,3,3,0
SHP_0000213,Makassar,Semarang,1,2,0
SHP_0000214,Surabaya,Jakarta,1,1,0
SHP_0000215,Bandung,Surabaya,5,4,0
SHP_0000216,Balikpapan,Makassar,1,1,0
SHP_0000217,Surabaya,Makassar,1,4,1
SHP_0000218,Jakarta,Bandung,2,2,0
SHP_0000219,Denpasar,Medan,3,3,0
SHP_0000220,Balikpapan,Medan,2,1,0
SHP_0000221,Balikpapan,Semarang,4,6,1
SHP_0000222,Jakarta,Semarang,2,4,1
SHP_0000223,Semarang,Surabaya,4,7,1
SHP_0000224,Semarang,Makassar,2,3,0
SHP_0000225,Surabaya,Jakarta,1,1,0
SHP_0000226,Jakarta,Medan,4,4,0
SHP_0000227,Semarang,Bandung,3,4,1
SHP_0000228,Surabaya,Medan,2,5,1
SHP_0000229,Denpasar,Surabaya,5,5,0
SHP_0000230,Bandung,Surabaya,4,4,0
SHP_0000231,Medan,Jakarta,3,4,0
SHP_0000232,Medan,Surabaya,5,6,0
SHP_0000233,Semarang,Denpasar,3,3,0
SHP_0000234,Surabaya,Denpasar,2,1,0
SHP_0000235,Makassar,Balikpapan,4,4,0
SHP_0000236,Bandung,Jakarta,2,3,1
SHP_0000237,Balikpapan,Makassar,5,4,0
SHP_0000238,Makassar,Jakarta,1,2,0
SHP_0000239,Jakarta,Medan,2,3,0
SHP_0000240,Makassar,Balikpapan,1,2,0
SHP_0000241,Denpasar,Makassar,3,4,0
SHP_0000242,Makassar,Denpasar,1,2,0
SHP_0000243,Surabaya,Denpasar,4,3,0
SHP_0000244,Jakarta,Medan,1,1,0
SHP_0000245,Surabaya,Jakarta,2,2,0
SHP_0000246,Makassar,Surabaya,3,4,0
SHP_0000247,Makassar,Semarang,2,3,0
SHP_0000248,Balikpapan,Jakarta,3,2,0
SHP_0000249,Denpasar,Balikpapan,5,7,1
SHP_0000250,Surabaya,Jakarta,4,4,0
SHP_0000251,Semarang,Bandung,5,5,0
SHP_0000252,Medan,Denpasar,3,3,0
SHP_0000253,Bandung,Makassar,5,5,0
SHP_0000254,Bandung,Balikpapan,1,2,1
SHP_0000255,Balikpapan,Denpasar,5,4,0
SHP_0000256,Semarang,Makassar,3,5,1
SHP_0000257,Jakarta,Balikpapan,2,3,1
SHP_0000258,Denpasar,Bandung,3,4,1
SHP_0000259,Bandung,Balikpapan,4,4,0
SHP_0000260,Denpasar,Semarang,2,1,0
SHP_0000261,Semarang,Bandung,3,3,0
SHP_0000262,Surabaya,Jakarta,5,5,0
SHP_0000263,Semarang,Makassar,4,5,0
SHP_0000264,Balikpapan,Semarang,1,1,0
SHP_0000265,Semarang,Makassar,3,4,0
SHP_0000266,Semarang,Jakarta,2,1,0
SHP_0000267,Denpasar,Balikpapan,4,5,0
SHP_0000268,Balikpapan,Denpasar,3,3,0
SHP_0000269,Bandung,Jakarta,4,4,0
SHP_0000270,Denpasar,Medan,1,1,0
SHP_0000271,Makassar,Denpasar,1,2,0
SHP_0000272,Semarang,Jakarta,1,2,0
SHP_0000273,Jakarta,Makassar,5,4,0
SHP_0000274,Denpasar,Semarang,2,1,0
SHP_0000275,Makassar,Jakarta,2,4,1
SHP_0000276,Surabaya,Makassar,4,4,0
SHP_0000277,Jakarta,Semarang,3,4,0
SHP_0000278,Bandung,Makassar,4,5,0
SHP_0000279,Balikpapan,Medan,4,5,0
SHP_0000280,Medan,Bandung,3,3,0
SHP_0000281,Bandung,Denpasar,5,5,0
SHP_0000282,Makassar,Denpasar,3,2,0
SHP_0000283,Semarang,Medan,4,5,0
SHP_0000284,Medan,Bandung,3,4,0
SHP_0000285,Bandung,Denpasar,4,3,0
SHP_0000286,Denpasar,Jakarta,4,3,0
SHP_0000287,Medan,Makassar,2,1,0
SHP_0000288,Medan,Makassar,5,6,1
SHP_0000289,Bandung,Medan,1,2,0
SHP_0000290,Medan,Balikpapan,2,2,0
SHP_0000291,Jakarta,Medan,4,4,0
SHP_0000292,Medan,Semarang,4,4,0
SHP_0000293,Semarang,Balikpapan,1,2,0
SHP_0000294,Jakarta,Surabaya,5,6,0
SHP_0000295,Jakarta,Makassar,4,4,0
SHP_0000296,Medan,Bandung,1,1,0
SHP_0000297,Balikpapan,Bandung,5,4,0
SHP_0000298,Surabaya,Denpasar,4,5,0
SHP_0000299,Jakarta,Balikpapan,5,6,1
SHP_0000300,Denpasar,Semarang,4,3,0
SHP_0000301,Bandung,Medan,5,5,0
SHP_0000302,Balikpapan,Medan,2,3,1
SHP_0000303,Makassar,Semarang,1,2,0
SHP_0000304,Makassar,Semarang,2,3,0
SHP_0000305,Semarang,Bandung,4,5,0
SHP_0000306,Denpasar,Surabaya,3,4,0
SHP_0000307,Jakarta,Semarang,4,5,0
SHP_0000308,Surabaya,Makassar,3,2,0
SHP_0000309,Medan,Surabaya,5,4,0
SHP_0000310,Makassar,Semarang,5,6,0
SHP_0000311,Bandung,Jakarta,5,5,0
SHP_0000312,Makassar,Medan,5,6,0
SHP_0000313,Denpasar,Medan,1,4,1
SHP_0000314,Bandung,Balikpapan,1,1,0
SHP_0000315,Jakarta,Semarang,5,6,0
SHP_0000316,Denpasar,Makassar,1,3,1
SHP_0000317,Jakarta,Makassar,1,1,0
SHP_0000318,Makassar,Medan,3,4,0
SHP_0000319,Balikpapan,Medan,1,1,0
SHP_0000320,Makassar,Bandung,1,1,0
SHP_0000321,Semarang,Makassar,3,2,0
SHP_0000322,Makassar,Surabaya,4,4,0
SHP_0000323,Surabaya,Denpasar,3,2,0
SHP_0000324,Bandung,Balikpapan,5,5,0
SHP_0000325,Denpasar,Balikpapan,3,2,0
SHP_0000326,Semarang,Medan,1,1,0
SHP_0000327,Makassar,Denpasar,4,4,0
SHP_0000328,Balikpapan,Denpasar,2,1,0
SHP_0000329,Makassar,Surabaya,3,2,0
SHP_0000330,Surabaya,Denpasar,4,5,1
SHP_0000331,Denpasar,Jakarta,1,2,0
SHP_0000332,Semarang,Denpasar,3,4,0
SHP_0000333,Medan,Balikpapan,3,4,0
SHP_0000334,Semarang,Denpasar,4,5,0
SHP_0000335,Medan,Semarang,3,6,1
SHP_0000336,Semarang,Surabaya,2,3,0
SHP_0000337,Medan,Denpasar,3,2,0
SHP_0000338,Surabaya,Makassar,4,6,1
SHP_0000339,Balikpapan,Denpasar,2,2,0
SHP_0000340,Makassar,Balikpapan,5,5,0
SHP_0000341,Semarang,Bandung,5,6,0
SHP_0000342,Denpasar,Bandung,5,4,0
SHP_0000343,Balikpapan,Surabaya,2,2,0
SHP_0000344,Denpasar,Surabaya,4,7,1
SHP_0000345,Surabaya,Denpasar,3,2,0
SHP_0000346,Balikpapan,Makassar,5,5,0
SHP_0000347,Makassar,Surabaya,1,1,0
SHP_0000348,Bandung,Balikpapan,4,6,1
SHP_0000349,Denpasar,Semarang,3,3,0
SHP_0000350,Bandung,Makassar,5,6,0
SHP_0000351,Surabaya,Makassar,4,5,0
SHP_0000352,Makassar,Jakarta,5,5,0
SHP_0000353,Bandung,Balikpapan,4,6,1
SHP_0000354,Semarang,Denpasar,5,8,1
SHP_0000355,Jakarta,Medan,4,5,0
SHP_0000356,Semarang,Medan,2,5,1
SHP_0000357,Denpasar,Surabaya,3,4,0
SHP_0000358,Surabaya,Medan,3,4,0
SHP_0000359,Denpasar,Jakarta,4,4,0
SHP_0000360,Denpasar,Jakarta,3,3,0
SHP_0000361,Makassar,Bandung,1,1,0
SHP_0000362,Jakarta,Denpasar,2,3,1
SHP_0000363,Denpasar,Semarang,1,1,0
SHP_0000364,Medan,Jakarta,1,1,0
SHP_0000365,Bandung,Medan,4,4,0
SHP_0000366,Denpasar,Makassar,5,4,0
SHP_0000367,Medan,Bandung,5,5,0
SHP_0000368,Bandung,Makassar,2,5,1
SHP_0000369,Medan,Jakarta,5,4,0
SHP_0000370,Balikpapan,Medan,3,4,0
SHP_0000371,Jakarta,Surabaya,1,2,0
SHP_0000372,Medan,Surabaya,5,6,0
SHP_0000373,Denpasar,Balikpapan,2,5,1
SHP_0000374,Jakarta,Makassar,3,2,0
SHP_0000375,Denpasar,Medan,3,4,0
SHP_0000376,Medan,Bandung,4,4,0
SHP_0000377,Surabaya,Bandung,4,6,1
SHP_0000378,Medan,Makassar,4,4,0
SHP_0000379,Jakarta,Medan,2,1,0
SHP_0000380,Semarang,Bandung,1,1,0
SHP_0000381,Surabaya,Jakarta,2,5,1
SHP_0000382,Jakarta,Medan,1,2,0
SHP_0000383,Semarang,Denpasar,5,5,0
SHP_0000384,Denpasar,Semarang,2,4,1
SHP_0000385,Balikpapan,Denpasar,4,7,1
SHP_0000386,Semarang,Denpasar,3,4,1
SHP_0000387,Denpasar,Balikpapan,2,3,1
SHP_0000388,Bandung,Surabaya,4,5,0
SHP_0000389,Makassar,Balikpapan,4,3,0
SHP_0000390,Semarang,Bandung,4,4,0
SHP_0000391,Medan,Makassar,1,2,0
SHP_0000392,Jakarta,Semarang,1,2,0
SHP_0000393,Surabaya,Jakarta,5,4,0
SHP_0000394,Surabaya,Makassar,4,5,1
SHP_0000395,Semarang,Denpasar,4,3,0
SHP_0000396,Jakarta,Surabaya,5,8,1
SHP_0000397,Surabaya,Bandung,5,6,0
SHP_0000398,Balikpapan,Denpasar,2,2,0
SHP_0000399,Bandung,Semarang,5,4,0
SHP_0000400,Surabaya,Denpasar,2,1,0
SHP_0000401,Medan,Denpasar,1,2,1
SHP_0000402,Surabaya,Medan,2,3,0
SHP_0000403,Denpasar,Medan,1,2,0
SHP_0000404,Surabaya,Bandung,1,1,0
SHP_0000405,Bandung,Medan,2,5,1
SHP_0000406,Semarang,Balikpapan,5,4,0
SHP_0000407,Medan,Surabaya,1,1,0
SHP_0000408,Balikpapan,Semarang,3,3,0
SHP_0000409,Bandung,Denpasar,1,2,1
SHP_0000410,Surabaya,Semarang,5,5,0
SHP_0000411,Semarang,Jakarta,2,3,0
SHP_0000412,Balikpapan,Denpasar,3,4,0
SHP_0000413,Makassar,Balikpapan,4,4,0
SHP_0000414,Bandung,Semarang,1,1,0
SHP_0000415,Balikpapan,Denpasar,3,3,0
SHP_0000416,Balikpapan,Jakarta,3,3,0
SHP_0000417,Denpasar,Medan,5,8,1
SHP_0000418,Medan,Makassar,2,3,0
SHP_0000419,Medan,Jakarta,5,6,1
SHP_0000420,Makassar,Denpasar,2,1,0
SHP_0000421,Makassar,Denpasar,4,4,0
SHP_0000422,Medan,Denpasar,1,2,0
SHP_0000423,Balikpapan,Jakarta,2,2,0
SHP_0000424,Semarang,Makassar,2,1,0
SHP_0000425,Bandung,Medan,4,5,0
SHP_0000426,Denpasar,Surabaya,2,5,1
SHP_0000427,Semarang,Balikpapan,1,1,0
SHP_0000428,Denpasar,Medan,2,2,0
SHP_0000429,Denpasar,Medan,2,3,1
SHP_0000430,Bandung,Balikpapan,1,1,0
SHP_0000431,Bandung,Medan,3,3,0
SHP_0000432,Surabaya,Denpasar,3,6,1
SHP_0000433,Bandung,Medan,3,3,0
SHP_0000434,Balikpapan,Surabaya,4,5,1
SHP_0000435,Jakarta,Balikpapan,5,6,0
SHP_0000436,Denpasar,Makassar,1,2,0
SHP_0000437,Jakarta,Balikpapan,1,1,0
SHP_0000438,Bandung,Denpasar,5,5,0
SHP_0000439,Surabaya,Makassar,1,1,0
SHP_0000440,Denpasar,Medan,5,5,0
SHP_0000441,Balikpapan,Denpasar,5,4,0
SHP_0000442,Medan,Bandung,2,2,0
SHP_0000443,Surabaya,Bandung,5,6,0
SHP_0000444,Denpasar,Makassar,1,1,0
SHP_0000445,Bandung,Semarang,4,6,1
SHP_0000446,Balikpapan,Jakarta,2,3,0
SHP_0000447,Surabaya,Balikpapan,2,1,0
SHP_0000448,Medan,Balikpapan,2,3,0
SHP_0000449,Balikpapan,Bandung,1,1,0
SHP_0000450,Medan,Jakarta,5,6,0
SHP_0000451,Medan,Makassar,3,2,0
SHP_0000452,Medan,Surabaya,2,3,1
SHP_0000453,Surabaya,Denpasar,4,5,0
SHP_0000454,Surabaya,Balikpapan,2,1,0
SHP_0000455,Makassar,Bandung,5,5,0
SHP_0000456,Makassar,Semarang,1,1,0
SHP_0000457,Balikpapan,Surabaya,5,4,0
SHP_0000458,Balikpapan,Bandung,4,4,0
SHP_0000459,Medan,Semarang,1,3,1
SHP_0000460,Denpasar,Semarang,4,5,0
SHP_0000461,Makassar,Balikpapan,3,2,0
SHP_0000462,Balikpapan,Denpasar,5,6,0
SHP_0000463,Surabaya,Balikpapan,3,4,0
SHP_0000464,Jakarta,Medan,4,5,0
SHP_0000465,Denpasar,Surabaya,1,2,1
SHP_0000466,Balikpapan,Bandung,3,2,0
SHP_0000467,Bandung,Balikpapan,2,1,0
SHP_0000468,Jakarta,Denpasar,5,5,0
SHP_0000469,Surabaya,Semarang,4,5,0
SHP_0000470,Bandung,Semarang,1,2,0
SHP_0000471,Bandung,Jakarta,2,3,0
SHP_0000472,Balikpapan,Medan,2,1,0
SHP_0000473,Surabaya,Makassar,5,8,1
SHP_0000474,Surabaya,Semarang,4,7,1
SHP_0000475,Semarang,Balikpapan,2,1,0
SHP_0000476,Balikpapan,Medan,1,1,0
SHP_0000477,Semarang,Bandung,3,2,0
SHP_0000478,Medan,Bandung,1,1,0
SHP_0000479,Makassar,Denpasar,5,6,0
SHP_0000480,Surabaya,Bandung,3,3,0
SHP_0000481,Makassar,Jakarta,5,4,0
SHP_0000482,Balikpapan,Bandung,2,2,0
SHP_0000483,Surabaya,Makassar,2,2,0
SHP_0000484,Surabaya,Balikpapan,4,5,1
SHP_0000485,Makassar,Balikpapan,4,4,0
SHP_0000486,Makassar,Jakarta,3,4,0
SHP_0000487,Balikpapan,Makassar,2,2,0
SHP_0000488,Medan,Jakarta,2,3,0
SHP_0000489,Medan,Semarang,2,2,0
SHP_0000490,Denpasar,Balikpapan,2,3,0
SHP_0000491,Makassar,Semarang,1,1,0
SHP_0000492,Balikpapan,Semarang,3,4,0
SHP_0000493,Jakarta,Surabaya,3,5,1
SHP_0000494,Bandung,Balikpapan,5,5,0
SHP_0000495,Balikpapan,Denpasar,2,1,0
SHP_0000496,Medan,Bandung,5,6,0
SHP_0000497,Bandung,Makassar,1,2,0
SHP_0000498,Bandung,Balikpapan,4,3,0
SHP_0000499,Balikpapan,Makassar,4,5,0
SHP_0000500,Bandung,Jakarta,4,3,0
SHP_0000501,Jakarta,Denpasar,5,5,0
SHP_0000502,Denpasar,Jakarta,2,1,0
SHP_0000503,Surabaya,Makassar,2,4,1
SHP_0000504,Semarang,Surabaya,2,4,1
SHP_0000505,Semarang,Medan,4,5,0
SHP_0000506,Medan,Bandung,4,5,0
SHP_0000507,Bandung,Semarang,2,1,0
SHP_0000508,Surabaya,Medan,3,4,0
SHP_0000509,Semarang,Makassar,2,1,0
SHP_0000510,Makassar,Bandung,1,1,0
SHP_0000511,Jakarta,Semarang,5,5,0
SHP_0000512,Medan,Bandung,5,4,0
SHP_0000513,Balikpapan,Jakarta,5,7,1
SHP_0000514,Medan,Makassar,4,4,0
SHP_0000515,Medan,Bandung,4,4,0
SHP_0000516,Bandung,Medan,5,7,1
SHP_0000517,Balikpapan,Surabaya,1,1,0
SHP_0000518,Surabaya,Makassar,3,4,0
SHP_0000519,Surabaya,Balikpapan,4,5,0
SHP_0000520,Bandung,Semarang,3,4,0
SHP_0000521,Bandung,Balikpapan,3,3,0
SHP_0000522,Denpasar,Jakarta,1,1,0
SHP_0000523,Medan,Jakarta,2,2,0
SHP_0000524,Denpasar,Balikpapan,1,1,0
SHP_0000525,Medan,Denpasar,5,4,0
SHP_0000526,Makassar,Surabaya,2,1,0
SHP_0000527,Bandung,Makassar,5,6,0
SHP_0000528,Medan,Denpasar,5,4,0
SHP_0000529,Surabaya,Medan,3,4,0
SHP_0000530,Balikpapan,Semarang,5,5,0
SHP_0000531,Balikpapan,Medan,5,6,0
SHP_0000532,Balikpapan,Bandung,3,6,1
SHP_0000533,Medan,Denpasar,3,3,0
SHP_0000534,Surabaya,Denpasar,1,2,0
SHP_0000535,Balikpapan,Semarang,4,5,0
SHP_0000536,Medan,Balikpapan,2,2,0
SHP_0000537,Denpasar,Semarang,3,3,0
SHP_0000538,Surabaya,Balikpapan,4,5,1
SHP_0000539,Bandung,Jakarta,3,5,1
SHP_0000540,Balikpapan,Semarang,4,4,0
SHP_0000541,Balikpapan,Denpasar,2,2,0
SHP_0000542,Jakarta,Balikpapan,2,1,0
SHP_0000543,Bandung,Jakarta,3,3,0
SHP_0000544,Surabaya,Medan,5,5,0
SHP_0000545,Denpasar,Jakarta,2,1,0
SHP_0000546,Medan,Bandung,4,5,1
SHP_0000547,Semarang,Jakarta,3,2,0
SHP_0000548,Semarang,Balikpapan,2,2,0
SHP_0000549,Balikpapan,Denpasar,4,5,0
SHP_0000550,Denpasar,Surabaya,4,5,1
SHP_0000551,Semarang,Denpasar,1,1,0
SHP_0000552,Semarang,Jakarta,1,2,1
SHP_0000553,Jakarta,Balikpapan,1,4,1
SHP_0000554,Balikpapan,Jakarta,4,4,0
SHP_0000555,Jakarta,Surabaya,1,2,0
SHP_0000556,Denpasar,Medan,3,2,0
